date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:07:53	51877/51877	---M--	200	added ('OK')	image/jpeg	etag:%22d348d28710db227191f4de3cc3b9b9a4%22	http://cdn.shopify.com/s/files/1/0271/9799/products/image7-b_grande.jpg?v=1418217880	D:/Dropbox/themeforest/envy/cdn.shopify.com/s/files/1/0271/9799/products/image7-b_grande1e7e.jpg	(from https://envy-stockholm.myshopify.com/collections/beachwear/products/we-are-handsome-the-mighty-scoop-one-piece)
00:07:54	85122/85122	---M--	200	added ('OK')	image/jpeg	etag:%229aad427e24a06ab504fe228eba15aced%22	http://cdn.shopify.com/s/files/1/0271/9799/products/image7-d_1024x1024.jpg?v=1418217880	D:/Dropbox/themeforest/envy/cdn.shopify.com/s/files/1/0271/9799/products/image7-d_1024x10241e7e.jpg	(from https://envy-stockholm.myshopify.com/collections/beachwear/products/we-are-handsome-the-mighty-scoop-one-piece)
00:07:55	695/695	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2006%20Oct%202015%2016:07:54%20GMT	http://pinterest.com/pin/create/button/?url=http://envy-stockholm.myshopify.com/products/we-are-handsome-the-mighty-scoop-one-piece&media=//cdn.shopify.com/s/files/1/0271/9799/products/image7-a_1024x1024.jpg?v=1418217880&description=We%20Are%20Handsome%20The%20Mighty%20Scoop%20One%20Piece	D:/Dropbox/themeforest/envy/pinterest.com/pin/create/button/index4ed6.html	(from https://envy-stockholm.myshopify.com/collections/beachwear/products/we-are-handsome-the-mighty-scoop-one-piece)
00:07:58	34135/34135	---M--	200	added ('OK')	image/jpeg	etag:%229aad427e24a06ab504fe228eba15aced%22	http://cdn.shopify.com/s/files/1/0271/9799/products/image7-d_grande.jpg?v=1418217880	D:/Dropbox/themeforest/envy/cdn.shopify.com/s/files/1/0271/9799/products/image7-d_grande1e7e.jpg	(from https://envy-stockholm.myshopify.com/collections/beachwear/products/we-are-handsome-the-mighty-scoop-one-piece)
00:07:59	32261/32261	---MCZ	200	added ('OK')	text/html	etag:cacheable:a8d8c816545d0ffbec53f1d46d863470	http://envy-stockholm.myshopify.com/products/seafolly-miami-high-neck-swimsuit	D:/Dropbox/themeforest/envy/envy-stockholm.myshopify.com/products/seafolly-miami-high-neck-swimsuit.html	(from https://envy-stockholm.myshopify.com/collections/beachwear/products/seafolly-miami-high-neck-swimsuit)
00:07:59	1879/1879	---MCZ	200	added ('OK')	application/json+oembed	etag:cacheable:dac85caa80dba541fd975fa2c23305ae	http://envy-stockholm.myshopify.com/products/seafolly-miami-high-neck-swimsuit.oembed	D:/Dropbox/themeforest/envy/envy-stockholm.myshopify.com/products/seafolly-miami-high-neck-swimsuit.oembed	(from https://envy-stockholm.myshopify.com/collections/beachwear/products/seafolly-miami-high-neck-swimsuit)
00:08:09	308758/308758	---M--	200	added ('OK')	image/jpeg	etag:%2240494f5e14e23c6e000a5e571c35aea3%22	http://cdn.shopify.com/s/files/1/0271/9799/products/image7-c_1024x1024.jpg?v=1418217880	D:/Dropbox/themeforest/envy/cdn.shopify.com/s/files/1/0271/9799/products/image7-c_1024x10241e7e.jpg	(from https://envy-stockholm.myshopify.com/collections/beachwear/products/we-are-handsome-the-mighty-scoop-one-piece)
00:08:10	116704/116704	---M--	200	added ('OK')	image/jpeg	etag:%2240494f5e14e23c6e000a5e571c35aea3%22	http://cdn.shopify.com/s/files/1/0271/9799/products/image7-c_grande.jpg?v=1418217880	D:/Dropbox/themeforest/envy/cdn.shopify.com/s/files/1/0271/9799/products/image7-c_grande1e7e.jpg	(from https://envy-stockholm.myshopify.com/collections/beachwear/products/we-are-handsome-the-mighty-scoop-one-piece)
00:08:11	5726/5726	---M--	200	added ('OK')	image/jpeg	etag:%22288a9ff4b3b1f276571c3b3ad5f235fd%22	http://cdn.shopify.com/s/files/1/0271/9799/products/image6-a_compact.jpg?v=1418217713	D:/Dropbox/themeforest/envy/cdn.shopify.com/s/files/1/0271/9799/products/image6-a_compactf3c9.jpg	(from https://envy-stockholm.myshopify.com/collections/beachwear/products/seafolly-miami-high-neck-swimsuit)
00:08:13	6291/6291	---M--	200	added ('OK')	image/jpeg	etag:%22b7d9e4ad89f8f5a77a221c7a5065e2d4%22	http://cdn.shopify.com/s/files/1/0271/9799/products/image6-b_compact.jpg?v=1418217713	D:/Dropbox/themeforest/envy/cdn.shopify.com/s/files/1/0271/9799/products/image6-b_compactf3c9.jpg	(from https://envy-stockholm.myshopify.com/collections/beachwear/products/seafolly-miami-high-neck-swimsuit)
00:08:15	99625/99625	---M--	200	added ('OK')	image/jpeg	etag:%22288a9ff4b3b1f276571c3b3ad5f235fd%22	http://cdn.shopify.com/s/files/1/0271/9799/products/image6-a_1024x1024.jpg?v=1418217713	D:/Dropbox/themeforest/envy/cdn.shopify.com/s/files/1/0271/9799/products/image6-a_1024x1024f3c9.jpg	(from https://envy-stockholm.myshopify.com/collections/beachwear/products/seafolly-miami-high-neck-swimsuit)
00:08:16	112322/112322	---M--	200	added ('OK')	image/jpeg	etag:%22288a9ff4b3b1f276571c3b3ad5f235fd%22	http://cdn.shopify.com/s/files/1/0271/9799/products/image6-a.jpg?v=1418217713	D:/Dropbox/themeforest/envy/cdn.shopify.com/s/files/1/0271/9799/products/image6-af3c9.jpg	(from https://envy-stockholm.myshopify.com/collections/beachwear/products/seafolly-miami-high-neck-swimsuit)
00:08:17	5843/5843	---M--	200	added ('OK')	image/jpeg	etag:%2213df2f0b15d28eae0650250da4c6232b%22	http://cdn.shopify.com/s/files/1/0271/9799/products/image6-c_compact.jpg?v=1418217713	D:/Dropbox/themeforest/envy/cdn.shopify.com/s/files/1/0271/9799/products/image6-c_compactf3c9.jpg	(from https://envy-stockholm.myshopify.com/collections/beachwear/products/seafolly-miami-high-neck-swimsuit)
